cust_id,proba,campaign
1678,0.9379440860003136,4
3070,0.9376820839978735,4
3115,0.9376017737120946,1
4285,0.9376017737120946,1
4785,0.9376017737120946,1
12945,0.9376017737120946,1
2651,0.9345020052598612,6
3161,0.9345020052598612,6
5311,0.9345020052598612,6
5511,0.9345020052598612,6
6401,0.9345020052598612,6
6701,0.9345020052598612,6
11,0.9302564762902376,7
1401,0.9302564762902376,7
5241,0.9302564762902376,7
6161,0.9302564762902376,7
6181,0.9302564762902376,7
8701,0.9302564762902376,7
9061,0.9302564762902376,7
12881,0.9302564762902376,7
13131,0.9302564762902376,7
9231,0.9300974025974026,7
2675,0.9299410703675409,8
6748,0.9285561720473153,6
8,0.9285252750108949,4
708,0.9285252750108949,4
7468,0.9285252750108949,4
1634,0.9268883448884345,10
7194,0.9268883448884345,10
7684,0.9268883448884345,10
8984,0.9268883448884345,10
9148,0.9266334542342163,5
1735,0.9256861819080728,7
1945,0.9256861819080728,7
5755,0.9256861819080728,7
6524,0.9245259479251098,6
29,0.9238421836259175,6
879,0.9238421836259175,6
3909,0.9238421836259175,6
4579,0.9238421836259175,6
5769,0.9238421836259175,6
5939,0.9238421836259175,6
8969,0.9238421836259175,6
1352,0.9232471441667469,7
2052,0.9232471441667469,7
2542,0.9232471441667469,7
7292,0.9232471441667469,7
7710,0.9227106287203989,5
580,0.9219853468890767,7
3680,0.9219853468890767,7
4310,0.9219853468890767,7
5180,0.9219853468890767,7
7180,0.9219853468890767,7
9170,0.9219853468890767,7
12690,0.9219853468890767,7
12810,0.9219853468890767,7
13090,0.9219853468890767,7
13190,0.9219853468890767,7
1706,0.9217964506475731,2
6916,0.9217964506475731,2
7326,0.9217964506475731,2
774,0.9211321611895202,6
5444,0.9211321611895202,6
6734,0.9211321611895202,6
12984,0.9211321611895202,6
154,0.9210000618022585,7
804,0.9210000618022585,7
6624,0.9210000618022585,7
7344,0.9210000618022585,7
162,0.9209645782515135,6
3002,0.9209645782515135,6
3102,0.9209645782515135,6
4602,0.9209645782515135,6
5042,0.9209645782515135,6
6182,0.9209645782515135,6
8172,0.9209645782515135,6
8632,0.9209645782515135,6
4889,0.9207516517609327,5
7579,0.9207516517609327,5
1595,0.9202413721284525,6
3065,0.9202413721284525,6
4655,0.9202413721284525,6
6035,0.9202413721284525,6
8145,0.9202413721284525,6
3751,0.9190869673542744,7
7178,0.9187001445865067,5
2528,0.9171254096240462,4
3828,0.9171254096240462,4
4858,0.9171254096240462,4
4988,0.9171254096240462,4
7008,0.9171254096240462,4
7138,0.9171254096240462,4
7638,0.9171254096240462,4
8188,0.9171254096240462,4
12888,0.9171254096240462,4
838,0.9170718419365497,4
2648,0.9170718419365497,4
1713,0.9167018253353564,7
2283,0.9167018253353564,7
2643,0.9167018253353564,7
2993,0.9167018253353564,7
3473,0.9167018253353564,7
3773,0.9167018253353564,7
4623,0.9167018253353564,7
12573,0.9167018253353564,7
2726,0.9165431018499904,6
4183,0.9156177100994909,6
7353,0.9156177100994909,6
9103,0.9156177100994909,6
12823,0.9156177100994909,6
6434,0.9148493392435839,10
5520,0.9146155963520474,5
2089,0.9143203463203464,8
5904,0.9139245038037316,6
8445,0.9132836053246639,7
6930,0.9126980994152046,4
2900,0.9121163327906595,7
3061,0.9104815020602337,7
338,0.9104299138204713,4
398,0.9104299138204713,4
8558,0.9104299138204713,4
2280,0.9102504982619466,6
3710,0.9102504982619466,6
8470,0.9102504982619466,6
2085,0.9097739113137087,1
7465,0.9097739113137087,1
3317,0.9090012907369297,2
1478,0.9070527920636735,7
3938,0.9070527920636735,7
3978,0.9070527920636735,7
4598,0.9070527920636735,7
4668,0.9070527920636735,7
5718,0.9070527920636735,7
5768,0.9070527920636735,7
918,0.9069065960553293,4
7948,0.9069065960553293,4
9328,0.9069065960553293,4
1471,0.90673724458848,6
8231,0.90673724458848,6
9261,0.90673724458848,6
119,0.9064888524993089,4
159,0.9064888524993089,4
939,0.9064888524993089,4
1649,0.9064888524993089,4
1769,0.9064888524993089,4
